Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
chebyshev,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.5230443422260267,-2.1393104157794056,1,13501,0,1579,15081
chebyshev,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.5230443422260267,-4.0,0,13520,0,1588,15108
chebyshev,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.5230443422260267,0.4934316689547944,2,13577,0,1524,15103
chebyshev,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.5230443422260267,-0.13975888913829626,1,13501,0,1581,15083
chebyshev,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.5230443422260267,-2.0,0,13553,0,1590,15143
chebyshev,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.5230443422260267,-2.0,0,1410,0,190,1600
chebyshev,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.5230443422260267,-1.0,0,15801,0,1499,17300
chebyshev,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.5230443422260267,-5.0,0,8535,0,1035,9570
chebyshev,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.5230443422260267,-1.5148083230975047,1,4030,5,529,4565
chebyshev,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.5230443422260267,-2.0,0,5791,0,726,6517
chebyshev,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.5230443422260267,-3.0,0,3082,0,346,3428
chebyshev,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.5230443422260267,-4.0,0,19677,0,2268,21945
Totals,,,,-85.42508014559692,42,299318,29,33453,332842
